Spec,Population,Week
Affliction Warlock,5719.0,
Arcane Mage,11053.0,
Arms Warrior,974.0,
Assassination Rogue,6365.0,
Augmentation Evoker,648.0,
Balance Druid,7640.0,
Beast Mastery Hunter,8624.0,
Demonology Warlock,6048.0,
Destruction Warlock,2362.0,
Devastation Evoker,7835.0,
Elemental Shaman,7295.0,
Enhancement Shaman,2489.0,
Feral Druid,2333.0,
Fire Mage,526.0,
Frost Death Knight,8978.0,
Frost Mage,3971.0,
Fury Warrior,8638.0,
Havoc Demon Hunter,10299.0,
Marksmanship Hunter,6606.0,
Outlaw Rogue,1319.0,
Retribution Paladin,9949.0,
Shadow Priest,8819.0,
Subtlety Rogue,1295.0,
Survival Hunter,838.0,
Unholy Death Knight,3133.0,
Windwalker Monk,5014.0,
Affliction Warlock,23422.0,2025-08_d
Arcane Mage,52689.0,2025-08_d
Arms Warrior,4579.0,2025-08_d
Assassination Rogue,31917.0,2025-08_d
Augmentation Evoker,2226.0,2025-08_d
Balance Druid,34638.0,2025-08_d
Beast Mastery Hunter,43461.0,2025-08_d
Demonology Warlock,29494.0,2025-08_d
Destruction Warlock,16324.0,2025-08_d
Devastation Evoker,30325.0,2025-08_d
Elemental Shaman,33362.0,2025-08_d
Enhancement Shaman,9752.0,2025-08_d
Feral Druid,10412.0,2025-08_d
Fire Mage,2295.0,2025-08_d
Frost Death Knight,48893.0,2025-08_d
Frost Mage,22947.0,2025-08_d
Fury Warrior,38735.0,2025-08_d
Havoc Demon Hunter,50136.0,2025-08_d
Marksmanship Hunter,32169.0,2025-08_d
Outlaw Rogue,5896.0,2025-08_d
Retribution Paladin,48368.0,2025-08_d
Shadow Priest,37563.0,2025-08_d
Subtlety Rogue,4715.0,2025-08_d
Survival Hunter,3791.0,2025-08_d
Unholy Death Knight,17353.0,2025-08_d
Windwalker Monk,19998.0,2025-08_d
Affliction Warlock,23422.0,2025-08_d
Arcane Mage,52689.0,2025-08_d
Arms Warrior,4579.0,2025-08_d
Assassination Rogue,31917.0,2025-08_d
Augmentation Evoker,2226.0,2025-08_d
Balance Druid,34638.0,2025-08_d
Beast Mastery Hunter,43461.0,2025-08_d
Demonology Warlock,29494.0,2025-08_d
Destruction Warlock,16324.0,2025-08_d
Devastation Evoker,30325.0,2025-08_d
Elemental Shaman,33362.0,2025-08_d
Enhancement Shaman,9752.0,2025-08_d
Feral Druid,10412.0,2025-08_d
Fire Mage,2295.0,2025-08_d
Frost Death Knight,48893.0,2025-08_d
Frost Mage,22947.0,2025-08_d
Fury Warrior,38735.0,2025-08_d
Havoc Demon Hunter,50136.0,2025-08_d
Marksmanship Hunter,32169.0,2025-08_d
Outlaw Rogue,5896.0,2025-08_d
Retribution Paladin,48368.0,2025-08_d
Shadow Priest,37563.0,2025-08_d
Subtlety Rogue,4715.0,2025-08_d
Survival Hunter,3791.0,2025-08_d
Unholy Death Knight,17353.0,2025-08_d
Windwalker Monk,19998.0,2025-08_d
Affliction Warlock,23422.0,2025-08_d
Arcane Mage,52689.0,2025-08_d
Arms Warrior,4579.0,2025-08_d
Assassination Rogue,31917.0,2025-08_d
Augmentation Evoker,2226.0,2025-08_d
Balance Druid,34638.0,2025-08_d
Beast Mastery Hunter,43461.0,2025-08_d
Demonology Warlock,29494.0,2025-08_d
Destruction Warlock,16324.0,2025-08_d
Devastation Evoker,30325.0,2025-08_d
Elemental Shaman,33362.0,2025-08_d
Enhancement Shaman,9752.0,2025-08_d
Feral Druid,10412.0,2025-08_d
Fire Mage,2295.0,2025-08_d
Frost Death Knight,48893.0,2025-08_d
Frost Mage,22947.0,2025-08_d
Fury Warrior,38735.0,2025-08_d
Havoc Demon Hunter,50136.0,2025-08_d
Marksmanship Hunter,32169.0,2025-08_d
Outlaw Rogue,5896.0,2025-08_d
Retribution Paladin,48368.0,2025-08_d
Shadow Priest,37563.0,2025-08_d
Subtlety Rogue,4715.0,2025-08_d
Survival Hunter,3791.0,2025-08_d
Unholy Death Knight,17353.0,2025-08_d
Windwalker Monk,19998.0,2025-08_d
Affliction Warlock,23422.0,8/19/2025
Arcane Mage,52689.0,8/19/2025
Arms Warrior,4579.0,8/19/2025
Assassination Rogue,31917.0,8/19/2025
Augmentation Evoker,2226.0,8/19/2025
Balance Druid,34638.0,8/19/2025
Beast Mastery Hunter,43461.0,8/19/2025
